name,address,lat,lng,kreis,group,size,geometry,index_right,objid,objectid,district,qnr,kname,knr
Personenmeldeamt Zürich Nord (ehem. «Kreisbüro»),"2. OG, Hofwiesenstrasse 370, 8050 Zürich, Schweiz",47.4112827,8.5447374,Kreis 11,migros_group,1.0,POINT (8.5447374 47.4112827),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Coop Supermarkt Zürich Schwellistrasse,"Schwellistrasse 69, 8052 Zürich, Schweiz",47.4249656,8.5376909,Kreis 11,competitors,1.0,POINT (8.5376909 47.4249656),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Coop Supermarkt Zürich Leutschenbach,"Leutschenbachstrasse 70, 8050 Zürich, Schweiz",47.416754,8.5564286,Kreis 11,competitors,1.0,POINT (8.5564286 47.416754),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Coop Pronto,"Schaffhauserstrasse 499, 8052 Zürich, Schweiz",47.4214355,8.5497151,Kreis 11,competitors,0.3,POINT (8.5497151 47.4214355),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Coop Supermarkt Zürich Andreasturm,"Andreasstrasse 5, 8050 Zürich, Schweiz",47.412905,8.5473555,Kreis 11,competitors,1.0,POINT (8.5473555 47.412905),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Coop Pronto Shop Zürich Main Tower,"Thurgauerstrasse 36, 8050 Zürich, Schweiz",47.4138904,8.5514837,Kreis 11,competitors,0.3,POINT (8.5514837 47.4138904),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Fresh Shop Supermarkt-Seebach,"Schaffhauserstrasse 459, 8052 Zürich, Schweiz",47.4184272,8.546757,Kreis 11,competitors,1.0,POINT (8.546757 47.4184272),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Coop to go Zürich Oerlikon Bahnhof,"Schaffhauserstrasse 389, 8050 Zürich, Schweiz",47.4127736,8.5455649,Kreis 11,competitors,0.3,POINT (8.5455649 47.4127736),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
BioMago GmbH,"Eichrainstrasse 3, 8052 Zürich, Schweiz",47.4296418,8.5454134,Kreis 11,competitors,1.0,POINT (8.5454134 47.4296418),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Migros-Supermarkt - Zürich - Pünt,"Albisriederstrasse 365, 8047 Zürich, Schweiz",47.3752087,8.4857112,Kreis 9,migros_group,1.0,POINT (8.4857112 47.3752087),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
Migros,"Albisriederstrasse 253, 8047 Zürich, Schweiz",47.3783453,8.4938779,Kreis 9,migros_group,1.0,POINT (8.4938779 47.3783453),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
Denner Discount,"Bockhornstrasse 1, 8047 Zürich, Schweiz",47.3759633,8.4839948,Kreis 9,migros_group,1.0,POINT (8.4839948 47.3759633),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
Denner Discount,"Letzigraben 120, 8047 Zürich, Schweiz",47.3765558,8.4973795,Kreis 9,migros_group,1.0,POINT (8.4973795 47.3765558),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
migrolino Zürich Rautistrasse,"Rautistrasse 32, 8047 Zürich, Schweiz",47.3812262,8.4920641,Kreis 9,migros_group,0.3,POINT (8.4920641 47.3812262),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
migrolino Zürich Rautistrasse,"Rautistrasse 12, 8047 Zürich, Schweiz",47.380395,8.4941506,Kreis 9,migros_group,0.3,POINT (8.4941506 47.380395),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
Coop Supermarkt Zürich Albisriederplatz,"Badenerstrasse 333, 8003 Zürich, Schweiz",47.3777615,8.5112322,Kreis 9,competitors,1.0,POINT (8.5112322 47.3777615),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Coop Supermarkt Zürich A-Park,"Albisriederstrasse 334, 8047 Zürich, Schweiz",47.3761905,8.4870812,Kreis 9,competitors,1.0,POINT (8.4870812 47.3761905),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
Coop Supermarkt Zürich Gutstrasse,"Gutstrasse 159, 8047 Zürich, Schweiz",47.3736631,8.5023812,Kreis 9,competitors,1.0,POINT (8.5023812 47.3736631),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
Coop Supermarkt Zürich Triemli,"In der Ey 85, 8047 Zürich, Schweiz",47.370577,8.4921401,Kreis 9,competitors,1.0,POINT (8.4921401 47.370577),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
Lidl Schweiz,"Pflanzschulstrasse 7, 8004 Zürich, Schweiz",47.37532,8.51935,Kreis 9,competitors,1.0,POINT (8.51935 47.37532),2.0,11,3.0,Langstrasse,42.0,Kreis 4,4.0
Lidl Schweiz,"Grubenstrasse 28, 8045 Zürich, Schweiz",47.36178,8.51493,Kreis 9,competitors,1.0,POINT (8.51493 47.36178),0.0,1,1.0,Alt-Wiedikon,31.0,Kreis 3,3.0
Lidl Schweiz,"Förrlibuckstrasse 62, 8005 Zürich, Schweiz",47.39252,8.51569,Kreis 9,competitors,1.0,POINT (8.51569 47.39252),3.0,12,4.0,Escher Wyss,52.0,Kreis 5,5.0
Lidl Schweiz,"Fraumünsterstrasse 16, 8001 Zürich, Schweiz",47.3688262,8.5411485,Kreis 9,competitors,1.0,POINT (8.5411485 47.3688262),24.0,31,25.0,Lindenhof,13.0,Kreis 1,1.0
Lidl Schweiz,"Hofwiesenstrasse 350, 8050 Zürich, Schweiz",47.4105,8.54273,Kreis 9,competitors,1.0,POINT (8.54273 47.4105),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Lidl Schweiz,"Wehntalerstrasse 625, 8046 Zürich, Schweiz",47.4223919,8.4991596,Kreis 9,competitors,1.0,POINT (8.4991596 47.4223919),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
Lidl Schweiz,"Ohmstrasse 11, 8050 Zürich, Schweiz",47.4101908,8.5458972,Kreis 9,competitors,1.0,POINT (8.5458972 47.4101908),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Lidl Schweiz,"Ueberlandstrasse 381, 8051 Zürich, Schweiz",47.4078526,8.585158,Kreis 9,competitors,1.0,POINT (8.585158 47.4078526),11.0,2,12.0,Schwamendingen-Mitte,122.0,Kreis 12,12.0
Neumarkt Oerlikon,"Hofwiesenstrasse 350, 8050 Zürich, Schweiz",47.4104775,8.5429323,Kreis 9,competitors,1.0,POINT (8.5429323 47.4104775),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
ALDI Suisse,"Badenerstrasse 565, 8048 Zürich, Schweiz",47.3837812,8.4975848,Kreis 9,competitors,1.0,POINT (8.4975848 47.3837812),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
ALDI SUISSE,"Hohlstrasse 473, 8048 Zürich, Schweiz",47.3883187,8.4967741,Kreis 9,competitors,1.0,POINT (8.4967741 47.3883187),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
ALDI SUISSE,"Birmensdorferstrasse 313, 8055 Zürich, Schweiz",47.3695917,8.5091882,Kreis 9,competitors,1.0,POINT (8.5091882 47.3695917),0.0,1,1.0,Alt-Wiedikon,31.0,Kreis 3,3.0
ALDI SUISSE,"Zollstrasse 58, 8005 Zürich, Schweiz",47.3808365,8.5331893,Kreis 9,competitors,1.0,POINT (8.5331893 47.3808365),26.0,33,27.0,Gewerbeschule,51.0,Kreis 5,5.0
SPAR Supermarkt Zürich Zollfreilager,"Freilagerstrasse 51, 8047 Zürich, Schweiz",47.3800421,8.4896783,Kreis 9,competitors,1.0,POINT (8.4896783 47.3800421),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
ALDI SUISSE,"Sihlstrasse 3, 8001 Zürich, Schweiz",47.3737269,8.5376525,Kreis 9,competitors,1.0,POINT (8.5376525 47.3737269),15.0,25,18.0,City,14.0,Kreis 1,1.0
ALDI SUISSE,"Albisstrasse 81, 8038 Zürich, Schweiz",47.3409069,8.5306032,Kreis 9,competitors,1.0,POINT (8.5306032 47.3409069),8.0,16,8.0,Wollishofen,21.0,Kreis 2,2.0
ALDI SUISSE,"Mythenquai 353, 8038 Zürich, Schweiz",47.3454582,8.5347438,Kreis 9,competitors,1.0,POINT (8.5347438 47.3454582),8.0,16,8.0,Wollishofen,21.0,Kreis 2,2.0
ALDI SUISSE,"Ofenhalle, Wehntalerstrasse 634, 8046 Zürich, Schweiz",47.42319,8.4994569,Kreis 9,competitors,1.0,POINT (8.4994569 47.42319),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
ALDI SUISSE,"Stadelhoferstrasse 10, 8001 Zürich, Schweiz",47.366789,8.5480012,Kreis 9,competitors,1.0,POINT (8.5480012 47.366789),30.0,5,30.0,Hochschulen,12.0,Kreis 1,1.0
Coop Supermarkt Zürich Letzipark,"Baslerstrasse 50, 8048 Zürich, Schweiz",47.3859855,8.499333,Kreis 9,competitors,1.0,POINT (8.499333 47.3859855),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
ALDI Zürich,"Baumackerstrasse 35, 8050 Zürich, Schweiz",47.4089561,8.5438043,Kreis 9,competitors,1.0,POINT (8.5438043 47.4089561),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
ALDI SUISSE,"Binzmühlestrasse 102, 8050 Zürich, Schweiz",47.4137869,8.5390221,Kreis 9,competitors,1.0,POINT (8.5390221 47.4137869),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
ALDI SUISSE,"Ueberlandstrasse 441, 8051 Zürich, Schweiz",47.4058514,8.5921951,Kreis 9,competitors,1.0,POINT (8.5921951 47.4058514),22.0,3,23.0,Hirzenbach,123.0,Kreis 12,12.0
ALDI SUISSE,"Schärenmoosstrasse 77, 8052 Zürich, Schweiz",47.4194852,8.556865,Kreis 9,competitors,1.0,POINT (8.556865 47.4194852),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Migros-Supermarkt - Zürich - Altstetten Neumarkt,"Neumarkt Altstetten, Altstetterstrasse 145, 8048 Zürich, Schweiz",47.3881781,8.486922,Kreis 9,migros_group,1.0,POINT (8.486922 47.3881781),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Migros-Supermarkt - Zürich - Altstetten M-Express,"Hohlstrasse 600, 8048 Zürich, Schweiz",47.3913612,8.4877977,Kreis 9,migros_group,0.3,POINT (8.4877977 47.3913612),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Denner Discount,"im OG, Altstetterstrasse 145, 8048 Zürich, Schweiz",47.3884662,8.486959,Kreis 9,migros_group,1.0,POINT (8.486959 47.3884662),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Denner Discount,"Baslerstrasse 50, 8048 Zürich, Schweiz",47.3859248,8.4996363,Kreis 9,migros_group,1.0,POINT (8.4996363 47.3859248),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Denner Discount,"Badenerstrasse 621, 8048 Zürich, Schweiz",47.3857711,8.4924776,Kreis 9,migros_group,1.0,POINT (8.4924776 47.3857711),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Denner Express,"Lindenpl. 4, 8048 Zürich, Schweiz",47.3872504,8.4860262,Kreis 9,migros_group,0.3,POINT (8.4860262 47.3872504),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Denner Discount,"Bachmattstrasse 59, 8048 Zürich, Schweiz",47.3890517,8.483677,Kreis 9,migros_group,1.0,POINT (8.483677 47.3890517),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Denner Discount,"Hohlstrasse 610, 8048 Zürich, Schweiz",47.3920031,8.4848712,Kreis 9,migros_group,1.0,POINT (8.4848712 47.3920031),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
migrolino Hohlstrasse,"Hohlstrasse 544, 8048 Zürich, Schweiz",47.3904427,8.4911794,Kreis 9,migros_group,0.3,POINT (8.4911794 47.3904427),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
migrolino Zürich Farbhof,"Karstlernstrasse, Farbhof 2, 8048 Zürich, Schweiz",47.3904603,8.4789204,Kreis 9,migros_group,0.3,POINT (8.4789204 47.3904603),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Coop Supermarkt Zürich Altstetten,"Badenerstrasse 650, 8048 Zürich, Schweiz",47.3875588,8.4890229,Kreis 9,competitors,1.0,POINT (8.4890229 47.3875588),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Coop Supermarkt Zürich Lindenplatz,"Lindenpl. 6, 8048 Zürich, Schweiz",47.3876386,8.4853846,Kreis 9,competitors,1.0,POINT (8.4853846 47.3876386),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Coop Supermarkt Zürich Westlink,"Vulkanpl., 8048 Zürich, Schweiz",47.3921018,8.4901313,Kreis 9,competitors,1.0,POINT (8.4901313 47.3921018),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Coop Supermarkt Zürich Vulkanstrasse,"Vulkanstrasse 108, 8048 Zürich, Schweiz",47.3935497,8.4838483,Kreis 9,competitors,1.0,POINT (8.4838483 47.3935497),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Coop Pronto Shop Zürich Hohlstrasse,"Hohlstrasse 560, 8048 Zürich, Schweiz",47.3909986,8.489169,Kreis 9,competitors,0.3,POINT (8.489169 47.3909986),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Coop Supermarkt Zürich Suteracher,"Am Suteracher 14, 8048 Zürich, Schweiz",47.389955,8.4720952,Kreis 9,competitors,1.0,POINT (8.4720952 47.389955),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Coop Pronto Shop Zürich-Altstetten,"Badenerstrasse 812, 8048 Zürich, Schweiz",47.3933164,8.4744605,Kreis 9,competitors,0.3,POINT (8.4744605 47.3933164),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
Coop Pronto Shop Zürich Kiss,"Badenerstrasse 575, 8048 Zürich, Schweiz",47.3846319,8.4957917,Kreis 9,competitors,0.3,POINT (8.4957917 47.3846319),28.0,4,29.0,Altstetten,92.0,Kreis 9,9.0
SPAR,"Spinnereipl. 2, 8041 Zürich, Schweiz",47.3383408,8.5202649,Kreis 9,competitors,1.0,POINT (8.5202649 47.3383408),8.0,16,8.0,Wollishofen,21.0,Kreis 2,2.0
SPAR Supermarkt Zürich Regensbergstrasse,"Regensbergstrasse 300, 8050 Zürich, Schweiz",47.4115648,8.5279289,Kreis 9,competitors,1.0,POINT (8.5279289 47.4115648),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
SPAR express,"Hardturmstrasse 126, 8005 Zürich, Schweiz",47.393554,8.5131344,Kreis 9,competitors,0.3,POINT (8.5131344 47.393554),3.0,12,4.0,Escher Wyss,52.0,Kreis 5,5.0
SPAR Supermarkt Zürich Dolderstrasse,"Dolderstrasse 5, 8032 Zürich, Schweiz",47.3703237,8.55685,Kreis 9,competitors,1.0,POINT (8.55685 47.3703237),14.0,22,15.0,Hottingen,72.0,Kreis 7,7.0
Migros-Supermarkt - Zürich - Höschgasse,"Seefeldstrasse 111/113, 8008 Zürich, Schweiz",47.358365,8.5541587,Kreis 8,migros_group,1.0,POINT (8.5541587 47.358365),9.0,18,10.0,Mühlebach,82.0,Kreis 8,8.0
Migros-Supermarkt - Zürich - Stadelhofen,"Falkenstrasse 19/21, 8008 Zürich, Schweiz",47.3654649,8.5479404,Kreis 8,migros_group,1.0,POINT (8.5479404 47.3654649),30.0,5,30.0,Hochschulen,12.0,Kreis 1,1.0
Denner Express,"Kreuzstrasse 40, 8008 Zürich, Schweiz",47.3633819,8.5504308,Kreis 8,migros_group,0.3,POINT (8.5504308 47.3633819),9.0,18,10.0,Mühlebach,82.0,Kreis 8,8.0
Denner Express,"Badenerstrasse 296, 8004 Zürich, Schweiz",47.3771472,8.5135021,Kreis 8,migros_group,0.3,POINT (8.5135021 47.3771472),29.0,9,34.0,Hard,44.0,Kreis 4,4.0
Denner Discount,"Limmatstrasse 275, 8005 Zürich, Schweiz",47.3887665,8.5250706,Kreis 8,migros_group,1.0,POINT (8.5250706 47.3887665),3.0,12,4.0,Escher Wyss,52.0,Kreis 5,5.0
Denner Express,"Forchstrasse 261, 8032 Zürich, Schweiz",47.358492,8.5721215,Kreis 8,migros_group,0.3,POINT (8.5721215 47.358492),25.0,32,26.0,Hirslanden,73.0,Kreis 7,7.0
Denner Express,"Josefstrasse 92, 8005 Zürich, Schweiz",47.383201,8.5309636,Kreis 8,migros_group,0.3,POINT (8.5309636 47.383201),26.0,33,27.0,Gewerbeschule,51.0,Kreis 5,5.0
Denner Discount,"Etzelstrasse 6, 8038 Zürich, Schweiz",47.3445223,8.5308077,Kreis 8,migros_group,1.0,POINT (8.5308077 47.3445223),8.0,16,8.0,Wollishofen,21.0,Kreis 2,2.0
migrolino Zürich Hornegg,"Horneggstrasse 3, 8008 Zürich, Schweiz",47.3522694,8.5586466,Kreis 8,migros_group,0.3,POINT (8.5586466 47.3522694),6.0,17,9.0,Seefeld,81.0,Kreis 8,8.0
Coop Supermarkt Zürich Seefeld,"Seefeldstrasse 123, 8008 Zürich, Schweiz",47.3580373,8.5547665,Kreis 8,competitors,1.0,POINT (8.5547665 47.3580373),9.0,18,10.0,Mühlebach,82.0,Kreis 8,8.0
Coop Supermarkt Zürich Brotgasse,"Seefeldstrasse 35, 8008 Zürich, Schweiz",47.3631275,8.5498808,Kreis 8,competitors,1.0,POINT (8.5498808 47.3631275),9.0,18,10.0,Mühlebach,82.0,Kreis 8,8.0
ALDI SUISSE,"Witikonerstr. 279, 8053 Zürich, Schweiz",47.3586306,8.5854632,Kreis 8,competitors,1.0,POINT (8.5854632 47.3586306),1.0,10,2.0,Witikon,74.0,Kreis 7,7.0
Fooby,"Seefeldstrasse 9, 8008 Zürich, Schweiz",47.3646351,8.548644,Kreis 8,competitors,1.0,POINT (8.548644 47.3646351),9.0,18,10.0,Mühlebach,82.0,Kreis 8,8.0
SPAR express Zürich Toblerplatz,"Toblerpl. 5, 8044 Zürich, Schweiz",47.37911,8.5597862,Kreis 8,competitors,0.3,POINT (8.5597862 47.37911),12.0,20,13.0,Fluntern,71.0,Kreis 7,7.0
EUROSPAR Supermarkt Bernina,"Schaffhauserstrasse 239, 8057 Zürich, Schweiz",47.4032176,8.5469741,Kreis 8,competitors,1.0,POINT (8.5469741 47.4032176),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Spar Express Sihlquai,"Ausstellungsstrasse 10, 8005 Zürich, Schweiz",47.3812873,8.5377649,Kreis 8,competitors,0.3,POINT (8.5377649 47.3812873),26.0,33,27.0,Gewerbeschule,51.0,Kreis 5,5.0
Migros-Supermarkt - Zürich - Kreuzplatz,"Kreuzpl. 20, 8008 Zürich, Schweiz",47.3645128,8.5537736,Kreis 8,migros_group,1.0,POINT (8.5537736 47.3645128),9.0,18,10.0,Mühlebach,82.0,Kreis 8,8.0
Migros-Supermarkt - Zürich - Limmatplatz,"Limmatstrasse 152, 8005 Zürich, Schweiz",47.385463,8.5314092,Kreis 8,migros_group,1.0,POINT (8.5314092 47.385463),26.0,33,27.0,Gewerbeschule,51.0,Kreis 5,5.0
Migros-Supermarkt - Zürich - City,"Löwenstrasse 31-35 2. und 3. OG, 8001 Zürich, Schweiz",47.3753832,8.5360797,Kreis 8,migros_group,1.0,POINT (8.5360797 47.3753832),15.0,25,18.0,City,14.0,Kreis 1,1.0
Migros-Supermarkt - Zürich - Toblerplatz,"Toblerstrasse 73, 8044 Zürich, Schweiz",47.3793079,8.5593843,Kreis 8,migros_group,1.0,POINT (8.5593843 47.3793079),12.0,20,13.0,Fluntern,71.0,Kreis 7,7.0
Migros-Supermarkt - Zürich - Hauptbahnhof,"Hauptbahnhof, 8001 Zürich, Schweiz",47.3781908,8.5404261,Kreis 8,migros_group,1.0,POINT (8.5404261 47.3781908),15.0,25,18.0,City,14.0,Kreis 1,1.0
Migros-Supermarkt - Zürich - Wiedikon M-Märt,"Birmensdorferstrasse 320, 8055 Zürich, Schweiz",47.3699559,8.5087208,Kreis 8,migros_group,1.0,POINT (8.5087208 47.3699559),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Migros-Supermarkt - Zürich - Puls 5 M-Express,"Hardturmstrasse 11, 8005 Zürich, Schweiz",47.391336,8.518553,Kreis 8,migros_group,0.3,POINT (8.518553 47.391336),3.0,12,4.0,Escher Wyss,52.0,Kreis 5,5.0
Migros-Supermarkt - Zürich - HB Sihlquai,"Sihlpassage, 8004 Zürich, Schweiz",47.3784015,8.535615,Kreis 8,migros_group,1.0,POINT (8.535615 47.3784015),2.0,11,3.0,Langstrasse,42.0,Kreis 4,4.0
Migros-Supermarkt - Zürich - Schmiede Wiedikon,"Birmensdorferstrasse 140, 8003 Zürich, Schweiz",47.3700773,8.5201284,Kreis 8,migros_group,1.0,POINT (8.5201284 47.3700773),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Migros-Supermarkt - Zürich - Wengihof,"Wengistrasse 7, 8004 Zürich, Schweiz",47.3749412,8.5230714,Kreis 8,migros_group,1.0,POINT (8.5230714 47.3749412),2.0,11,3.0,Langstrasse,42.0,Kreis 4,4.0
Migros-Supermarkt - Zürich - Albisriederplatz,"Badenerstrasse 376, 8004 Zürich, Schweiz",47.3791051,8.5087542,Kreis 8,migros_group,1.0,POINT (8.5087542 47.3791051),29.0,9,34.0,Hard,44.0,Kreis 4,4.0
Migros-Supermarkt - Zürich - Burgwies,"Forchstrasse 260, 8008 Zürich, Schweiz",47.3576042,8.5716275,Kreis 8,migros_group,1.0,POINT (8.5716275 47.3576042),5.0,14,6.0,Weinegg,83.0,Kreis 8,8.0
Migros-Supermarkt - Zürich - Brunaupark,"BRUNAUPARK, Giesshübelstrasse 65, 8045 Zürich, Schweiz",47.3583859,8.5176472,Kreis 8,migros_group,1.0,POINT (8.5176472 47.3583859),0.0,1,1.0,Alt-Wiedikon,31.0,Kreis 3,3.0
Migros-Supermarkt - Zürich - Seebach,"Schaffhauserstrasse 470, 8052 Zürich, Schweiz",47.4195302,8.5483282,Kreis 8,migros_group,1.0,POINT (8.5483282 47.4195302),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Migros-Supermarkt - Zürich - Herdern,"Pfingstweidstrasse 101, 8005 Zürich, Schweiz",47.3902225,8.508952,Kreis 8,migros_group,1.0,POINT (8.508952 47.3902225),3.0,12,4.0,Escher Wyss,52.0,Kreis 5,5.0
Migros-Supermarkt - Zürich - Wipkingen,"Scheffelstrasse 3, 8037 Zürich, Schweiz",47.3936979,8.5292409,Kreis 8,migros_group,1.0,POINT (8.5292409 47.3936979),21.0,29,22.0,Wipkingen,102.0,Kreis 10,10.0
Genossenschaft Migros Zürich,"Pfingstweidstrasse 101, 8005 Zürich, Schweiz",47.3899917,8.5095371,Kreis 8,migros_group,1.0,POINT (8.5095371 47.3899917),3.0,12,4.0,Escher Wyss,52.0,Kreis 5,5.0
Denner Campus,"Grubenstrasse 10, 8045 Zürich, Schweiz",47.3622363,8.5167287,Kreis 8,migros_group,1.0,POINT (8.5167287 47.3622363),0.0,1,1.0,Alt-Wiedikon,31.0,Kreis 3,3.0
Denner Discount,"Limmatstrasse 152, 8005 Zürich, Schweiz",47.3857949,8.5319332,Kreis 8,migros_group,1.0,POINT (8.5319332 47.3857949),26.0,33,27.0,Gewerbeschule,51.0,Kreis 5,5.0
Denner Express,"Molkenstrasse 8, 8004 Zürich, Schweiz",47.3766288,8.5272297,Kreis 8,migros_group,0.3,POINT (8.5272297 47.3766288),2.0,11,3.0,Langstrasse,42.0,Kreis 4,4.0
Denner Discount,"Binzmühlestrasse 80, 8050 Zürich, Schweiz",47.4143106,8.5421529,Kreis 8,migros_group,1.0,POINT (8.5421529 47.4143106),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Denner Discount,"Werdstrasse 36, 8004 Zürich, Schweiz",47.3728511,8.5296261,Kreis 8,migros_group,1.0,POINT (8.5296261 47.3728511),27.0,34,28.0,Werd,41.0,Kreis 4,4.0
Denner Discount,"Fierzgasse 18, 8005 Zürich, Schweiz",47.3838772,8.5319657,Kreis 8,migros_group,1.0,POINT (8.5319657 47.3838772),26.0,33,27.0,Gewerbeschule,51.0,Kreis 5,5.0
Denner Express,"Hottingerstrasse 52, 8032 Zürich, Schweiz",47.3690299,8.5558873,Kreis 8,migros_group,0.3,POINT (8.5558873 47.3690299),14.0,22,15.0,Hottingen,72.0,Kreis 7,7.0
Denner Express,"Hofwiesenstrasse 135, 8057 Zürich, Schweiz",47.3990363,8.5325936,Kreis 8,migros_group,0.3,POINT (8.5325936 47.3990363),23.0,30,24.0,Unterstrass,61.0,Kreis 6,6.0
Denner Express,"Wengistrasse 7, 8004 Zürich, Schweiz",47.3748794,8.5234283,Kreis 8,migros_group,0.3,POINT (8.5234283 47.3748794),2.0,11,3.0,Langstrasse,42.0,Kreis 4,4.0
Denner Express,"Apollostrasse 2, 8032 Zürich, Schweiz",47.364459,8.5556508,Kreis 8,migros_group,0.3,POINT (8.5556508 47.364459),14.0,22,15.0,Hottingen,72.0,Kreis 7,7.0
Denner Express,"Winterthurerstrasse 83, 8006 Zürich, Schweiz",47.3906931,8.5451931,Kreis 8,migros_group,0.3,POINT (8.5451931 47.3906931),10.0,19,11.0,Oberstrass,63.0,Kreis 6,6.0
Denner Express,"Toblerstrasse 76, 8044 Zürich, Schweiz",47.3788752,8.5594874,Kreis 8,migros_group,0.3,POINT (8.5594874 47.3788752),12.0,20,13.0,Fluntern,71.0,Kreis 7,7.0
Denner Express,"Limmattalstrasse 177, 8049 Zürich, Schweiz",47.4018108,8.4994459,Kreis 8,migros_group,0.3,POINT (8.4994459 47.4018108),20.0,28,21.0,Höngg,101.0,Kreis 10,10.0
migrolino Zürich HB,"Hauptbahnhof, Bahnhofquai, 8001 Zürich, Schweiz",47.3778211,8.5404269,Kreis 8,migros_group,0.3,POINT (8.5404269 47.3778211),15.0,25,18.0,City,14.0,Kreis 1,1.0
migrolino Zürich-Niederdorfstrasse,"Niederdorfstrasse 88, 8001 Zürich, Schweiz",47.3762269,8.54413,Kreis 8,migros_group,0.3,POINT (8.54413 47.3762269),13.0,21,14.0,Rathaus,11.0,Kreis 1,1.0
migrolino Zürich Sihlquai,"Sihlquai 155, 8005 Zürich, Schweiz",47.3860452,8.5319444,Kreis 8,migros_group,0.3,POINT (8.5319444 47.3860452),26.0,33,27.0,Gewerbeschule,51.0,Kreis 5,5.0
migrolino fresh Zürich Langstrasse,"Langstrasse 134, 8004 Zürich, Schweiz",47.3798155,8.5279692,Kreis 8,migros_group,0.3,POINT (8.5279692 47.3798155),2.0,11,3.0,Langstrasse,42.0,Kreis 4,4.0
migrolino Zürich Thurgauerstrasse,"Thurgauerstrasse 100, 8052 Zürich, Schweiz",47.4197969,8.5563336,Kreis 8,migros_group,0.3,POINT (8.5563336 47.4197969),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
migrolino Zürich Waffenplatz,"Waffenplatzstrasse 40, 8002 Zürich, Schweiz",47.3595129,8.5266093,Kreis 8,migros_group,0.3,POINT (8.5266093 47.3595129),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
migrolino Triemli,"Birmensdorferstrasse 484, 8055 Zürich, Schweiz",47.3685826,8.4966337,Kreis 8,migros_group,0.3,POINT (8.4966337 47.3685826),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
